luas_tanah,luas_bangunan,jumlah_kamar,jumlah_kamar_mandi,jarak_ke_kota,umur_rumah,garasi,lantai,daya_listrik,akses_transportasi,harga
162,120,1,3,2,18,1,2,2219,2,579245696
239,236,1,3,9,6,1,2,2958,4,1194902297
152,135,4,2,3,3,1,2,2036,3,714421595
74,77,4,1,1,19,1,1,1086,1,404863941
166,115,5,1,21,15,1,1,2150,4,596071568
131,219,5,3,16,23,0,2,2233,2,1094304715
248,94,3,1,23,5,0,1,997,2,436574961
80,111,4,3,6,10,1,2,954,2,582402894
162,234,1,1,28,7,0,1,1657,1,1115950571
181,183,5,3,17,17,1,1,1305,4,919655151
270,77,5,1,5,7,1,1,3016,4,421366619
274,77,1,2,5,22,0,1,2212,1,325974968
134,157,5,1,6,12,0,2,2685,4,821720592
262,93,3,1,3,17,0,2,1650,1,459249774
147,133,4,2,21,13,1,2,2662,1,644942266
176,79,1,1,23,20,0,1,1264,1,314937677
159,239,4,2,5,4,1,2,2926,2,1224107366
163,124,5,1,21,10,1,2,1381,4,618741218
211,177,5,3,5,3,1,2,3148,1,943321567
190,141,1,3,10,9,0,1,1053,4,667481140
209,239,3,1,10,13,0,1,2424,2,1187991831
112,178,2,1,19,18,1,1,3020,1,871747234
61,170,1,1,17,15,0,2,3243,3,823035694
147,76,2,3,21,4,0,2,1940,2,345790717
295,239,2,1,14,15,0,2,2564,3,1178072781
217,170,3,3,9,22,1,1,2140,4,837159206
97,165,2,2,14,2,1,1,960,4,815797968
189,52,2,3,1,15,0,2,1838,2,264710403
251,152,3,3,19,8,1,1,2539,4,769663439
247,247,2,2,13,8,0,1,2989,3,1230507736
80,249,2,3,13,17,0,1,924,1,1211151515
220,204,2,1,4,12,0,1,1962,1,997339838
263,186,1,1,1,19,0,2,1030,1,897020181
117,111,1,3,17,10,1,1,2152,2,528967188
81,214,1,1,8,9,1,1,1007,4,1047938199
295,100,3,3,2,5,1,1,1071,3,520998604
148,221,5,1,28,6,0,1,2358,4,1119464208
108,201,2,1,8,20,0,2,1001,4,989857821
278,108,2,3,7,2,0,2,3471,4,533525407
118,167,3,1,26,24,1,1,3222,1,794131601
229,209,2,3,26,13,0,1,2536,3,1005554414
279,145,1,1,2,6,1,1,1940,3,741931806
247,229,5,1,22,5,1,1,1229,4,1160476005
267,162,4,2,22,1,1,1,2420,1,813151882
74,111,2,2,3,21,1,1,911,1,555634444
249,235,1,3,27,22,1,2,2241,3,1125819320
249,101,4,2,18,21,1,1,1115,1,474210016
234,61,5,3,12,6,0,2,1238,1,311737320
249,88,4,2,1,6,0,2,2699,1,482443815
110,179,1,1,22,23,1,1,2650,2,844773962
167,180,4,3,12,16,1,2,2408,4,907750760
114,162,3,3,5,4,0,2,3321,3,837442480
123,150,4,1,27,11,1,2,1609,3,761336811
190,162,2,3,25,24,1,2,2123,2,749325144
288,233,2,3,17,23,0,2,3413,4,1129597069
110,130,3,2,16,9,1,2,2012,3,641033951
194,236,1,3,15,23,1,1,2191,1,1128279534
80,162,2,1,23,3,1,2,1388,3,822212981
132,51,5,2,15,19,0,2,2461,1,255529339
226,179,2,2,5,8,0,2,946,2,881234816
77,103,2,1,21,5,0,1,1677,1,489552465
191,136,1,1,14,4,1,2,1939,3,664962049
148,178,4,2,2,24,1,1,1610,3,886851424
119,196,2,3,11,6,0,2,1300,3,983856072
73,175,3,2,19,2,1,1,2717,2,897036204
